Minute,Hour,NO2,O3,Region,Location
2023-07-19 12:30:00,12PM,,,Tangerang,Panunggangan Utara
2023-07-19 12:35:00,12PM,0.0,192.7,Tangerang,Panunggangan Utara
2023-07-19 12:40:00,12PM,,,Tangerang,Panunggangan Utara
2023-07-19 12:45:00,12PM,0.0,185.15,Tangerang,Panunggangan Utara
2023-07-19 12:50:00,12PM,,,Tangerang,Panunggangan Utara
2023-07-19 12:55:00,12PM,0.0,179.48,Tangerang,Panunggangan Utara
2023-07-19 13:00:00,13PM,,,Tangerang,Panunggangan Utara
2023-07-19 13:05:00,13PM,0.0,170.7,Tangerang,Panunggangan Utara
2023-07-19 13:10:00,13PM,,,Tangerang,Panunggangan Utara
2023-07-19 13:15:00,13PM,0.0,164.63,Tangerang,Panunggangan Utara
2023-07-19 13:20:00,13PM,,,Tangerang,Panunggangan Utara
2023-07-19 13:25:00,13PM,0.0,165.65,Tangerang,Panunggangan Utara
2023-07-19 13:30:00,13PM,,,Tangerang,Panunggangan Utara
2023-07-19 13:35:00,13PM,0.0,160.07,Tangerang,Panunggangan Utara
2023-07-19 13:40:00,13PM,,,Tangerang,Panunggangan Utara
2023-07-19 13:45:00,13PM,0.0,156.99,Tangerang,Panunggangan Utara
2023-07-19 13:50:00,13PM,,,Tangerang,Panunggangan Utara
2023-07-19 13:55:00,13PM,0.0,154.05,Tangerang,Panunggangan Utara
2023-07-19 14:00:00,14PM,,,Tangerang,Panunggangan Utara
2023-07-19 14:05:00,14PM,0.28,156.45,Tangerang,Panunggangan Utara
2023-07-19 14:10:00,14PM,,,Tangerang,Panunggangan Utara
2023-07-19 14:15:00,14PM,0.44,158.57,Tangerang,Panunggangan Utara
2023-07-19 14:20:00,14PM,,,Tangerang,Panunggangan Utara
2023-07-19 14:25:00,14PM,0.53,159.69,Tangerang,Panunggangan Utara
2023-07-19 14:30:00,14PM,,,Tangerang,Panunggangan Utara
2023-07-19 14:35:00,14PM,7.06,163.98,Tangerang,Panunggangan Utara
2023-07-19 14:40:00,14PM,,,Tangerang,Panunggangan Utara
2023-07-19 14:45:00,14PM,10.13,164.47,Tangerang,Panunggangan Utara
2023-07-19 14:50:00,14PM,,,Tangerang,Panunggangan Utara
